date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:19	63469/63469	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/index.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/index.html	(from )
10:49:20	177/177	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Jun%202021%2002:14:27%20GMT	https://coderthemes.com/robots.txt		(from )
10:49:20	106024/106024	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/assets/images/favicon.ico	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/images/favicon.ico	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:20	206204/206204	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/assets/css/bootstrap.min.css	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/css/bootstrap.min.css	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:21	103099/103099	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/assets/css/app.min.css	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/css/app.min.css	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:21	2396/2396	---M--	200	added ('OK')	image/jpeg	etag:%225ebd3c58-95c%22	https://coderthemes.com/adminto/layouts/vertical/assets/images/users/user-1.jpg	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/images/users/user-1.jpg	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:21	322449/322449	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/assets/css/icons.min.css	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/css/icons.min.css	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:21	4730/4730	---M--	200	added ('OK')	image/jpeg	etag:%225ebd3c58-127a%22	https://coderthemes.com/adminto/layouts/vertical/assets/images/users/user-4.jpg	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/images/users/user-4.jpg	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:22	11346/11346	---M--	200	added ('OK')	image/png	etag:%225ebd3c58-2c52%22	https://coderthemes.com/adminto/layouts/vertical/assets/images/logo-dark.png	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/images/logo-dark.png	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:22	2249/2249	---M--	200	added ('OK')	image/png	etag:%225ebd3c58-8c9%22	https://coderthemes.com/adminto/layouts/vertical/assets/images/logo-sm.png	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/images/logo-sm.png	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:22	11392/11392	---M--	200	added ('OK')	image/png	etag:%225ebd3c58-2c80%22	https://coderthemes.com/adminto/layouts/vertical/assets/images/logo-light.png	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/images/logo-light.png	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:22	67676/67676	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/layouts-horizontal.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/layouts-horizontal.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:23	63499/63499	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/layouts-sidebar-sm.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/layouts-sidebar-sm.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:23	63486/63486	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/layouts-dark-sidebar.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/layouts-dark-sidebar.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:23	63487/63487	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/layouts-dark-topbar.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/layouts-dark-topbar.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:23	63675/63675	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/layouts-preloader.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/layouts-preloader.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
